id,link,title,availability,description,image link,price,sale price,brand,mpn,identifier exists,condition,item group id,product details,unit price measure,unit price base measure,shipping weight,additional image links
118a59c0-a9db-7e7d-83ee-d5f9ffd551eb,https://www.natole.store/product-page/%D1%96%D0%BA%D1%80%D0%B0-%D0%BF%D0%BB%D0%BE%D1%82%D0%B2%D0%B8-%D0%B2%D0%B0%D0%BA%D1%83%D1%83%D0%BC?utm_source=google&utm_medium=wix_google_feed&utm_campaign=freelistings,"Ікра судака (вакуум) 0,5 кг",instock,"<p>Має приємний рибний смак, багата білком та риб'ячими жирами. Зручна у використанні. Практична у зберіганні. Дієтологи вважають ікру найціннішим харчовим продуктом. У ній міститься більше 30% білка, який засвоюється людиною набагато краще, ніж білки, що містяться в м'ясі та молочних продуктах. Крім того, до її складу входять вітаміни A, D і Е, фолієва кислота, кальцій, фосфор та йод, які дуже корисні.</p>",https://static.wixstatic.com/media/145cef_c4efc0d5abd7482187008abf4aeb20dc~mv2.jpg/v1/fit/w_1080%2Ch_1080%2Cq_90/file.jpg,579,579,Natole store,118a59c0-a9db-7e7d-83ee-d5f9ffd551eb,true,new,,,1.00 kg,1.00 kg,,
0b46bcc0-da19-0fc0-cd57-6384dcb471ad,https://www.natole.store/product-page/%D1%96%D0%BA%D1%80%D0%B0-%D1%81%D1%83%D0%B4%D0%B0%D0%BA%D0%B0-%D1%81%D1%83%D1%88%D0%B5%D0%BD%D0%B0-%D1%8F%D1%81%D1%82%D0%B8%D0%BA?utm_source=google&utm_medium=wix_google_feed&utm_campaign=freelistings,Ікра судака сушена (ястик) 500 г,instock,,https://static.wixstatic.com/media/145cef_31fb33e7e93c4a01992d776e8d0c139f~mv2.jpg/v1/fit/w_1080%2Ch_1080%2Cq_90/file.jpg,579,579,Natole store,0b46bcc0-da19-0fc0-cd57-6384dcb471ad,true,new,,,,,,
d38991db-d174-a924-b4ba-cc02a1af2d63,https://www.natole.store/product-page/%D0%BA%D1%83%D1%80%D0%BA%D0%B0-%D0%BF%D0%BE-%D0%B4%D1%96%D0%B6%D0%BE%D0%BD%D1%81%D1%8C%D0%BA%D1%96?utm_source=google&utm_medium=wix_google_feed&utm_campaign=freelistings,"Курка по-Діжонські ""Natole"" 0.5",instock,"<p>Курячі чипси з додаванням Діжонської гірчиці– це смачна натуральна закуска до пива, виготовлена з куриного філе з додаванням натуральних спецій.</p>",https://static.wixstatic.com/media/145cef_6f1acc3a3b9546a3bd2af0154931e4eb~mv2.jpg/v1/fit/w_1080%2Ch_1080%2Cq_90/file.jpg,390,390,Natole store,d38991db-d174-a924-b4ba-cc02a1af2d63,true,new,,,,,0.5 kg,
794354f2-032f-fe14-5880-187a4f478902,https://www.natole.store/product-page/%D0%BA%D0%BE%D1%81%D0%B0-%D0%BA%D0%BE%D0%BF%D1%87%D0%B5%D0%BD%D0%B0-%D1%81%D0%B8%D1%80%D0%BE%D1%97%D0%B6%D0%BA%D0%B0-100%D0%B3?utm_source=google&utm_medium=wix_google_feed&utm_campaign=freelistings,"Коса копчена ""Сироїжка"" 100г",instock,<p>Термін придатності: 90 днів при 0 …+8 °С</p>,https://static.wixstatic.com/media/145cef_6093e0e4ab8d45778b6f427790de879c~mv2.jpg/v1/fit/w_1080%2Ch_1080%2Cq_90/file.jpg,39,39,Natole store,794354f2-032f-fe14-5880-187a4f478902,true,new,,,100.00 g,1.00 kg,,
46f629ee-fe30-55ab-4017-3aa62e21b4a9,https://www.natole.store/product-page/%D0%BA%D0%BE%D1%81%D0%B0-%D1%81%D1%83%D0%BB%D1%83%D0%B3%D1%83%D0%BD%D1%96-%D1%81%D0%B8%D1%80%D0%BE%D1%97%D0%B6%D0%BA%D0%B0-100%D0%B3?utm_source=google&utm_medium=wix_google_feed&utm_campaign=freelistings,"Коса біла-молочна  ""Сироїжка"" 100г",instock,<p>Термін придатності: 90 днів при 0 …+8 °С</p>,https://static.wixstatic.com/media/145cef_575f4d1a5046443483a0340da5cbbbf5~mv2.jpg/v1/fit/w_1080%2Ch_1080%2Cq_90/file.jpg,39,39,Natole store,46f629ee-fe30-55ab-4017-3aa62e21b4a9,true,new,,,100.00 g,1.00 kg,,
48a8f9cf-415f-8410-5860-ca82249114f2,https://www.natole.store/product-page/%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82-%D1%81%D0%B8%D1%80%D0%BD%D0%B8%D0%B9-%D0%BC%D0%BE%D1%86%D0%B0%D1%80%D0%B5%D1%82%D1%82%D0%B0?utm_source=google&utm_medium=wix_google_feed&utm_campaign=freelistings,"Продукт сирний ""Моцаретта"" брус 2 кг.",instock,"<p>Паста-філата (Pasta Fillatta) – це група традиційних південно-італійських сирів, які стають тягучими при нагріванні і утворюють довгі сирні нитки. Один з найпопулярніших видів сирів паста-філата – моцарелла для піци (більш тверда моцарелла без розсолу).</p><p>Переваги «Моцаретта» ТМ Тульчинка:</p><p>улюблений смак сиру моцарелла для піци</p><p>при нагріванні гарно плавиться, утворюючи довгі сирні нитки, не розтікається і не горить</p><p>ідеальна для приготування піци, гарячих бутербродів та гарячих страв з сиром</p><p></p><p></p>",https://static.wixstatic.com/media/145cef_695a6e7f8f1f468cb2b38a9656ab310e~mv2.jpg/v1/fit/w_1080%2Ch_1080%2Cq_90/file.jpg,468,468,Natole store,48a8f9cf-415f-8410-5860-ca82249114f2,true,new,,,1.00 kg,1.00 kg,2.0 kg,
ae4b237c-cb67-32ee-93d9-f3e0e63138ed,https://www.natole.store/product-page/%D1%81%D0%B8%D1%80-%D0%BC%D0%B0%D0%B0%D0%B7%D0%B4%D0%B0%D0%BC?utm_source=google&utm_medium=wix_google_feed&utm_campaign=freelistings,"Сир Мааздам , ваговий ( у вакуумі) 500 грам",instock,"<p>-УВАГА-</p><p>Продукт ваговий , перед оплатою проконсультуйтесь з менеджером</p><p></p><p>«Мааздам» має м'яку та пластичну консистенцію жовтого кольору, ніжний, солодкаво-горіховий смак, завдяки бактериям, які додаються під час його виробництва.  Сир має жовту шкірку, покриту воском.  Серцевина сиру має дірки — 10-13 мм, утворені під час дозрівання.</p>",https://static.wixstatic.com/media/145cef_e30d34e373934569baafd1bb72b3612c~mv2.jpg/v1/fit/w_1080%2Ch_1080%2Cq_90/file.jpg,225,225,Natole store,ae4b237c-cb67-32ee-93d9-f3e0e63138ed,true,new,,,1.00 kg,1.00 kg,,
baf4c764-f13d-53ab-55f3-0b420ec8f623,https://www.natole.store/product-page/%D1%81%D0%B8%D1%80-%D1%81%D1%83%D0%BB%D1%83%D0%B3%D1%83%D0%BD%D1%96-%D0%BA%D0%BE%D1%81%D0%B0?utm_source=google&utm_medium=wix_google_feed&utm_campaign=freelistings,Коса Premium 500 грам,instock,"<p>Копчений сир коса є традиційною стравою вірменської кухні.  Зовні він є волокнистим сиром, за консистенцією чимось нагадує сулугуні.  Роблять його, зазвичай, вручну.  Сир-коса - це чудова закуска, яка подобається і дорослим, і дітям.</p>",https://static.wixstatic.com/media/145cef_3f81148ba40a44788204ecd7ae5319da~mv2.jpg/v1/fit/w_1080%2Ch_1080%2Cq_90/file.jpg,182,182,Natole store,baf4c764-f13d-53ab-55f3-0b420ec8f623,true,new,,,1.00 kg,1.00 kg,,
a64a6ead-8a13-e0ec-1e5b-f8d31243ffee,https://www.natole.store/product-page/%D1%81%D0%B8%D1%80%D0%BE%D1%97%D0%B6%D0%BA%D0%B0-%D1%82%D1%80%D0%B0%D0%B2%D0%B8-%D0%BF%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D1%81-100%D0%B3?utm_source=google&utm_medium=wix_google_feed&utm_campaign=freelistings,"Сироїжка ""Трави Прованс"" 100г",instock,,https://static.wixstatic.com/media/145cef_eed1056707314ab59d5182c3770d613a~mv2.jpg/v1/fit/w_1080%2Ch_1080%2Cq_90/file.jpg,34,34,Natole store,a64a6ead-8a13-e0ec-1e5b-f8d31243ffee,true,new,,,,,,
59373d90-5047-439b-81c4-aeb14203f1f0,https://www.natole.store/product-page/%D1%81%D1%83%D0%BB%D1%83%D0%B3%D1%83%D0%BD%D1%96-%D1%84%D0%B0%D1%81%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B9?utm_source=google&utm_medium=wix_google_feed&utm_campaign=freelistings,Сулугуні Фасований 500 грам,instock,"<p>Сир сулугуні (палички). Має чистий кисломолочний, в міру солоний смак та шарувату консистенцію.  Сулугуні відмінно підходить для овочевих салатів, а ще його можна подавати як оригінальну закуску.</p>",https://static.wixstatic.com/media/145cef_90c6eeea5e374c51822fe55090af93a2~mv2.jpg/v1/fit/w_1080%2Ch_1080%2Cq_90/file.jpg,182,182,Natole store,59373d90-5047-439b-81c4-aeb14203f1f0,true,new,,,1.00 kg,1.00 kg,,
