id	title	description	availability	inventory	condition	price	sale_price	link	image_link	brand	item_group_id	product_type	google_product_category
752901911091	Сахарозаменитель (подсластитель) натуральный Gut & Gunstig 72г	Сахарозаменитель (подсластитель) натуральный Gut & Gunstig Германия 72г	in stock	999	new	94.00 UAH		https://smartfood.org.ua/sugar-salt/tproduct/320931197-752901911091-saharozamenitel-podslastitel-naturalnii	https://static.tildacdn.com/tild3338-3464-4635-a235-636537653639/images644x461.jpg	Gut & Gunstig	752901911091	Сахар, соль	503734
718833047231	Сок лайма концентрированный Lemon Green Piacelli 200мл	Сок лайма концентрированный Lemon Green Piacelli Австрия 200мл	in stock	999	new	38.00 UAH		https://smartfood.org.ua/drinks/tproduct/320930595-718833047231-sok-laima-kontsentrirovannii-lemon-green	https://static.tildacdn.com/tild3530-3736-4464-b666-636134393230/253403276_images_201.jpg	Piacelli	718833047231	Напитки, соки, сиропы	413
587639694491	Шоколад черный без глютена 52% какао Postres Trapa 200г	Шоколад черный без глютена 52% какао Postres Trapa Испания 200г	in stock	999	new	88.00 UAH		https://smartfood.org.ua/chocolate-sweets/tproduct/320927101-587639694491-shokolad-chernii-bez-glyutena-52-kakao-p	https://static.tildacdn.com/tild6362-6632-4932-b434-363931343465/shokolad-trapa-postr.jpg	Trapa	587639694491	Шоколад и Сладости	4748
567272234571	Какао порошок экстра темный Magnetic 200г	Какао порошок экстра темный Magnetic 200 г Польша	in stock	999	new	92.00 UAH		https://smartfood.org.ua/coffee/tproduct/320929310-567272234571-kakao-poroshok-ekstra-temnii-magnetic-20	https://static.tildacdn.com/tild3538-3733-4639-b736-356438633230/147494215_images_151.jpg	Magnetic	567272234571	Кофе, Какао	1868
609858483971	Детское какао с витаминами Gellwe cacao vitamin 150г	Детское какао с витаминами Gellwe cacao vitamin Польша 150г	in stock	999	new	99.00 UAH		https://smartfood.org.ua/coffee/tproduct/320929310-609858483971-detskoe-kakao-s-vitaminami-gellwe-cacao	https://static.tildacdn.com/tild6335-6332-4339-b763-656131653438/258630661_images_205.jpg	smartfood.org.ua	609858483971	Кофе, Какао	1868
543040106701	Кокосовое молоко Vera Coconut Milk 400мл	Кокосовое молоко Vera Coconut Milk 400 мл. Польша	in stock	999	new	84.00 UAH		https://smartfood.org.ua/canned/tproduct/320925876-543040106701-kokosovoe-moloko-vera-coconut-milk-400ml	https://images.ua.prom.st/2140907182_w200_h200_kokosovoe-moloko-vera.jpg	smartfood.org.ua	543040106701	Консервация, консервы	5811
462596241051	Горячий шоколад Torras a la taza (готовое какао в чашку) 180г	Горячий шоколад Torras a la taza (готовое какао в чашку) Испания 180г	in stock	999	new	86.00 UAH		https://smartfood.org.ua/coffee/tproduct/320929310-462596241051-goryachii-shokolad-torras-a-la-taza-goto	https://static.tildacdn.com/tild3764-3031-4731-b239-623239393533/1264273496_w640_h640.jpg	Torras	462596241051	Кофе, Какао	1868
277213556391	Печенье Tostada Cuetara 800г	Печенье Tostada Cuetara 800г (4x200г) Испания	in stock	999	new	88.00 UAH		https://smartfood.org.ua/confectionery/tproduct/320930194-277213556391-pechene-tostada-cuetara-800g	https://static.tildacdn.com/tild3861-6662-4838-b638-336362643565/2517095867_w700_h500.jpg	smartfood.org.ua	277213556391	Кондитерские изделия	2660
447429975061	"Шоколад ""Schogetten"" Stracciatella (Шогеттен Страчателла) 100г"	"Шоколад ""Schogetten"" Stracciatella (Шогеттен Страчателла), 100г, Германия"	in stock	999	new	50.00 UAH		https://smartfood.org.ua/chocolate-sweets/tproduct/320927101-447429975061-shokolad-schogetten-stracciatella-shoget	https://static.tildacdn.com/tild6533-3365-4161-a133-643630303238/shokolad-schogetten-.jpg	smartfood.org.ua	447429975061	Шоколад и Сладости	4748
931119164911	Шоколад без сахара и глютена Torras черный с кусочками клубники 75г	Шоколад без сахара и глютена Torras черный с кусочками клубники Испания 75г	in stock	999	new	63.00 UAH		https://smartfood.org.ua/chocolate-sweets/tproduct/320927101-931119164911-shokolad-bez-sahara-i-glyutena-torras-ch	https://static.tildacdn.com/tild6334-3661-4665-b137-623266393033/1778871672_w640_h640.jpg	Torras	931119164911	Шоколад и Сладости	4748
875755231771	Шоколад Milka Choco Biscuit (с бисквитным печеньем) 300г	Шоколад Milka Choco Biscuit (с бисквитным печеньем) Швейцария 300г	in stock	999	new	147.00 UAH		https://smartfood.org.ua/chocolate-sweets/tproduct/320927101-875755231771-shokolad-milka-choco-biscuit-s-biskvitni	https://static.tildacdn.com/tild3863-3836-4336-b631-353439313165/milkachokobisqit.png	smartfood.org.ua	875755231771	Шоколад и Сладости	4748
734909558301	Шоколад Milka Choco Jelly (c драже, шипучками и мармеладками) 250г	Шоколад Milka Choco Jelly (c драже, шипучками и мармеладками)Швейцария 250г	in stock	999	new	147.00 UAH		https://smartfood.org.ua/chocolate-sweets/tproduct/320927101-734909558301-shokolad-milka-choco-jelly-c-drazhe-ship	https://static.tildacdn.com/tild6466-3030-4663-b132-386537313633/shokolad-milka-choco.jpg	smartfood.org.ua	734909558301	Шоколад и Сладости	4748
656536214591	Шоколад молочный DELIKADOR Strawberry ( с клубникой) Baron 200г	Шоколад молочный DELIKADOR Strawberry ( с клубникой) Baron Польша 200г	in stock	999	new	82.00 UAH		https://smartfood.org.ua/chocolate-sweets/tproduct/320927101-656536214591-shokolad-molochnii-delikador-strawberry	https://static.tildacdn.com/tild3161-6530-4565-a536-326134613039/1794692192_w640_h640.jpg	Baron	656536214591	Шоколад и Сладости	4748
515499033711	Шоколад без сахара и глютена Torras ZERO 85% какао 100г	Шоколад без сахара и глютена Torras ZERO 85% какао Испания 100г	in stock	999	new	99.00 UAH		https://smartfood.org.ua/chocolate-sweets/tproduct/320927101-515499033711-shokolad-bez-sahara-i-glyutena-torras-ze	https://static.tildacdn.com/tild6436-6633-4432-b561-623265393065/2451625533_w700_h500.jpg	Torras	515499033711	Шоколад и Сладости	4748
580662001831	Шоколад DELIKADOR Whiskey ( виски) Baron 200г	Шоколад DELIKADOR Whiskey ( виски) Baron Польша 200г	in stock	999	new	82.00 UAH		https://smartfood.org.ua/chocolate-sweets/tproduct/320927101-580662001831-shokolad-delikador-whiskey-viski-baron-2	https://static.tildacdn.com/tild3532-3664-4732-b039-306265323864/1292833_202011011118.jpg	Baron	580662001831	Шоколад и Сладости	4748
617033781861	"Шоколад ""Alpinella kokosowa"" (Альпинелла молочный с кокосом) 100г"	"Шоколад ""Alpinella kokosawa"" (Альпинелла молочный с кокосом), Польша, 100г"	in stock	999	new	41.00 UAH		https://smartfood.org.ua/chocolate-sweets/tproduct/320927101-617033781861-shokolad-alpinella-kokosowa-alpinella-mo	https://static.tildacdn.com/tild6531-6462-4134-a365-343161396465/132438765_images_145.jpg	smartfood.org.ua	617033781861	Шоколад и Сладости	4748
458177442951	Шоколад без сахара Torras Africa 85% 100г	Шоколад без сахара Torras Africa 85% 100г Испания	in stock	999	new	92.00 UAH		https://smartfood.org.ua/chocolate-sweets/tproduct/320927101-458177442951-shokolad-bez-sahara-torras-africa-85-100	https://static.tildacdn.com/tild3264-3730-4466-a636-643561616235/torras-negro-africa-.jpg	Torras	458177442951	Шоколад и Сладости	4748
577816440271	Шоколад черный Delicadore Peanut &Caramel (арахис и карамель) 200г	Шоколад черный Delicadore Peanut &Caramel (арахис и карамель) Польша 200г	in stock	999	new	82.00 UAH		https://smartfood.org.ua/chocolate-sweets/tproduct/320927101-577816440271-shokolad-chernii-delicadore-peanut-ampca	https://static.tildacdn.com/tild3234-6639-4731-a334-303665313665/eIW8LZuEjvmPUTs0v8tg.png	Baron	577816440271	Шоколад и Сладости	4748
621381589041	"Шоколад ""Schogetten Yoghurt-Strawberry"" ( Шогеттен клубника с йогуртом) 100г"	"Шоколад ""Schogetten Yoghurt-Strawberry"" ( Шогеттен клубника с йогуртом) Германия, 100г"	in stock	999	new	51.00 UAH		https://smartfood.org.ua/chocolate-sweets/tproduct/320927101-621381589041-shokolad-schogetten-yoghurt-strawberry-s	https://static.tildacdn.com/tild3366-3564-4534-b966-313632343738/9JgjZzJMD3ATpuLsKDzt.png	Schogetten	621381589041	Шоколад и Сладости	4748
610176672891	Швейцарский молочный шоколад Tobleron с изюмом, медом и миндальной нугой 100г	Швейцарский молочный шоколад Tobleron с изюмом, медом и миндальной нугой 100г	in stock	999	new	82.00 UAH		https://smartfood.org.ua/chocolate-sweets/tproduct/320927101-610176672891-shveitsarskii-molochnii-shokolad-toblero	https://static.tildacdn.com/tild3430-6236-4662-b431-333833316466/uf_site_product_euro.jpg	Toblerone	610176672891	Шоколад и Сладости	4748
247618272511	Швейцарский молочный шоколад Tobleron с медом и миндальной нугой 100г	Швейцарский молочный шоколад Tobleron с медом и миндальной нугой 100г	in stock	999	new	82.00 UAH		https://smartfood.org.ua/chocolate-sweets/tproduct/320927101-247618272511-shveitsarskii-molochnii-shokolad-toblero	https://static.tildacdn.com/tild6466-6332-4036-b136-666366666437/shokolad-toblerone-m.jpg	Toblerone	247618272511	Шоколад и Сладости	4748
425994830671	"Шоколад ""Schogetten Alpine milk Chocolate""(Шогеттен Альпийский молочный) 100г"	"Шоколад ""Schogetten Alpine milk Chocolate""(Шогеттен Альпийский молочный), 100г, Германиия"	in stock	999	new	51.00 UAH		https://smartfood.org.ua/chocolate-sweets/tproduct/320927101-425994830671-shokolad-schogetten-alpine-milk-chocolat	https://static.tildacdn.com/tild3830-6262-4332-a536-376232626635/56ced51943649-1000x1.jpg	Schogetten	425994830671	Шоколад и Сладости	4748
798782987751	Шоколад Schogetten White (Белый) 100г	Шоколад Schogetten White (Белый) Германия 100г	in stock	999	new	51.00 UAH		https://smartfood.org.ua/chocolate-sweets/tproduct/320927101-798782987751-shokolad-schogetten-white-belii-100g	https://static.tildacdn.com/tild3233-6538-4364-b463-323136653362/1285601445_w640_h640.jpg	Schogetten	798782987751	Шоколад и Сладости	4748
660443993051	Шоколад без сахара Torras blanco (белый) 75г	Шоколад без сахара Torras blanco (белый) Испания 75г	in stock	999	new	59.00 UAH		https://smartfood.org.ua/chocolate-sweets/tproduct/320927101-660443993051-shokolad-bez-sahara-torras-blanco-belii	https://static.tildacdn.com/tild6164-3837-4630-b163-353431326161/2909743406_w600_h600.jpg	Torras	660443993051	Шоколад и Сладости	4748
443365216291	Шоколад Cachet MADAGASCAR 32% какао. 100г	Шоколад Cachet MADAGASCAR 32% какао Бельгия 100г	in stock	999	new	92.00 UAH		https://smartfood.org.ua/chocolate-sweets/tproduct/320927101-443365216291-shokolad-cachet-madagascar-32-kakao-100g	https://static.tildacdn.com/tild3533-3036-4666-b062-363361356237/shokolad-cachet-milk.jpg	Cachet	443365216291	Шоколад и Сладости	4748
368319407231	Шоколад Milka Peanut Caramel (c карамелью и арахисом) 300г	Шоколад Milka Peanut Caramel (c карамелью и арахисом) Швейцария 300г	in stock	999	new	147.00 UAH		https://smartfood.org.ua/chocolate-sweets/tproduct/320927101-368319407231-shokolad-milka-peanut-caramel-c-karamely	https://static.tildacdn.com/tild3064-3431-4833-b839-646639383033/shokolad-milka-peanu.jpg	Milka	368319407231	Шоколад и Сладости	4748
600750928511	"Шоколад ""Schogetten Trilogia"" (с гильяжем и лесными орехами) 100г"	"Шоколад ""Schogetten Trilogia"" (с гильяжем и лесными орехами), Германия, 100 г"	in stock	999	new	51.00 UAH		https://smartfood.org.ua/chocolate-sweets/tproduct/320927101-600750928511-shokolad-schogetten-trilogia-s-gilyazhem	https://static.tildacdn.com/tild3435-3238-4331-b030-633666313530/1839926099_w640_h640.jpg	Schogetten	600750928511	Шоколад и Сладости	4748
914367947241	Шоколад без сахара и глютена Torras белый с кусочками киви 75г	Шоколад без сахара и глютена Torras белый с кусочками киви Испания 75г	in stock	999	new	66.00 UAH		https://smartfood.org.ua/chocolate-sweets/tproduct/320927101-914367947241-shokolad-bez-sahara-i-glyutena-torras-be	https://static.tildacdn.com/tild6538-6365-4164-b235-623130386465/1555264_159405244389.jpg	Torras	914367947241	Шоколад и Сладости	4748
718477714101	Шоколад без сахара и глютена Torras молочный с фундуком 75г	Шоколад без сахара и глютена Torras молочный с фундуком Испания 75г	in stock	999	new	66.00 UAH		https://smartfood.org.ua/chocolate-sweets/tproduct/320927101-718477714101-shokolad-bez-sahara-i-glyutena-torras-mo	https://static.tildacdn.com/tild6534-6162-4132-a236-666636333231/146879490.jpg	Torras	718477714101	Шоколад и Сладости	4748
402416045481	Шоколад без сахара Torras молочный с фундуком 75г	Шоколад без сахара Torras молочный с фундуком Испания 75г	in stock	999	new	66.00 UAH		https://smartfood.org.ua/chocolate-sweets/tproduct/320927101-402416045481-shokolad-bez-sahara-torras-molochnii-s-f	https://static.tildacdn.com/tild3236-3738-4862-a161-386433393938/torras_milk_chocolat.jpg	Torras	402416045481	Шоколад и Сладости	4748
